Trip date,Location,SiteNo,Trans_No,Start time,End time,Sea condition,Depth(m),DepthRange,Time,Lat(N),Lon(E),Right observer,Left observer,Azimuth,VisibilityBlocks,WaterTemp,Direction,Number_Ind,Distance,Length,Species,Family,Order,Reserve
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,2,0.5,20,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,2,1.5,12,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,50,1,8,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,1,0,50,Labrus merula,Labridae ,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,50,3,8,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,20,5,8,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,8,3,12,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,10,1,15,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,3,15,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,4,15,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,1,30,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,3,15,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,2,15,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,1,20,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,1,0,5,Parablennius rouxi,Blenniidae,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,5,35,Dentex dentex,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,1,20,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,1,20,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,2,3,15,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,1,35,Labrus merula,Labridae ,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,,1011,Parablennius rouxi,Blenniidae,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,1,8,Gobius bucchichi,Gobiidae,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,1,10,Tripterygion melanurus,tripterygidae,Perciformes,In
01-08-17,Brijuni,1,11,,,,8.2,,15:00,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,30,0,7,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,1,11,,,,8.2,,15:00,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,10,2,7,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,1,11,,,,8.2,,15:00,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,9,0,20,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,11,,,,8.2,,15:00,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,1,0,20,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,11,,,,8.2,,15:00,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,1,0.5,15,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,1,11,,,,8.2,,15:00,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,1,0.5,20,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,1,11,,,,8.2,,15:00,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,1,0,5,Parablennius rouxi,Blenniidae,Perciformes,In
01-08-17,Brijuni,1,11,,,,8.2,,15:00,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,20,0,10,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,1,11,,,,8.2,,15:00,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,20,6,8,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,1,11,,,,8.2,,15:00,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,2,4,12,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,11,,,,8.2,,15:00,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,5,25,Dentex dentex,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,10,3,10,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,20,1,10,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,5,3,10,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,20,1,10,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,10,0,8,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,30,1,25,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,15,3,25,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,10,3,8,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,5,2,20,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,1,30,Dentex dentex,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,3,20,Dentex dentex,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,2,2,15,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,2,3,20,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,1,5,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,3,20,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,0,15,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,3,3,20,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,3,3,15,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,1,10,Parablennius rouxi,Blenniidae,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,1,8,Gobius bucchichi,Gobiidae,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,1,8,Gobius bucchichi,Gobiidae,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,3,30,Diplodus sargus,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,3,3,35,Sciaena umbra,Sciaenidae,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,3,2,20,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,6,3,20,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,6,0,15,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,8,1,15,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,3,20,Labrus viridis,Labridae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Right,1,3,40,Labrus merula,Labridae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,1,0,50,Dentex dentex,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,1,0,30,Dentex dentex,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,16,1.5,25,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,10,0,15,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,3,0,12,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,7,0.5,20,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,14,1,20,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,4,1.5,12,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,2,0,17,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,5,0,17,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,6,0,17,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,3,0,12,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,2,0.5,40,Sciaena umbra,Sciaenidae,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,3,0.5,40,Sciaena umbra,Sciaenidae,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,2,0,17,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,3,0,15,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,1,0,20,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,3,0,15,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,3,1,15,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,1,0,20,Diplodus sargus,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,1,1,35,Labrus merula,Labridae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,1,0,15,Symphodus tinca,Labridae ,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,50,0,7,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,20,0,7,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,1,12,,,,9,,15:15,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,2,0,20,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,2,10,,,,10,,18:30,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,1000,0,7,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,2,10,,,,10,,18:30,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,5,3,7,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,2,10,,,,10,,18:30,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,2,1.5,20,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,10,,,,10,,18:30,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,2,1.5,20,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,10,,,,10,,18:30,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,3,2,30,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,10,,,,10,,18:30,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,30,2.5,30,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,10,,,,10,,18:30,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,2,0,15,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,2,10,,,,10,,18:30,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,13,3,60,Dentex dentex,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,10,,,,10,,18:30,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,3,3,50,Sparus aurata,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,10,,,,10,,18:30,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,1,2,30,Diplodus sargus,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,10,,,,10,,18:30,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,50,3,10,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,2,10,,,,10,,18:30,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,300,3,10,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,2,10,,,,10,,18:30,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,3,0,15,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,2,10,,,,10,,18:30,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,1,2,15,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,2,10,,,,10,,18:30,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,1,1,10,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,2,10,,,,10,,18:30,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,2,3,12,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,2,10,,,,10,,18:30,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,1,3,25,Dentex dentex,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,10,,,,10,,18:30,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,30,5,30,Diplodus sargus,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,10,,,,10,,18:30,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,30,2,15,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,10,,,,10,,18:30,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,30,2,30,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,10,,,,10,,18:30,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,5,5,35,Sparus aurata,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,100,2,8,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,100,3,10,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,2,3,15,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,3,3,13,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,1,3,15,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,1,4,15,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,3,3,15,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,2,2,15,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,5,4,15,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,10,3,15,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,2,3,15,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,5,4,15,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,6,5,10,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,6,5,25,Diplodus sargus,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,1,1,35,Diplodus sargus,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,5,4,12,Oblada melanura,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,1,5,25,Labrus merula,Labridae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,3,5,35,Sparus aurata,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Right,1,1,25,Spondylisoma cantharus,Sparidea,Perciform,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,1000,0,7,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,1,0.5,15,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,2,0.5,16,Coris julis,Labridae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,2,0.5,15,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,2,0.5,15,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,3,2,20,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,3,0,20,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,1,0,20,Diplodus sargus,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,1,1,25,Diplodus sargus,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,1,1,20,Diplodus sargus,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,4,1.5,20,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,10,3,20,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,3,2,20,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,2,1,15,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,2,11,,,,9.4,,18:40,44.901705,13.790891,Shahar Malamud,Ori Frid,,,,Left,3,2,25,Diplodus puntazzo,Sparidae ,Perciformes,In
